time;gFx;gFy;gFz;TgF
0.752946;-0.0117;-0.0098;1.0105;1.011
0.753575;-0.0120;-0.0098;1.0073;1.007
0.756625;-0.0105;-0.0088;1.0093;1.009
0.768352;-0.0110;-0.0078;1.0129;1.013
0.768989;-0.0095;-0.0076;1.0146;1.015
0.769361;-0.0093;-0.0061;1.0141;1.014
0.769723;-0.0088;-0.0051;1.0134;1.013
0.770075;-0.0076;-0.0034;1.0090;1.009
0.770419;-0.0071;-0.0039;1.0046;1.005
0.770874;-0.0061;-0.0051;1.0039;1.004
0.771703;-0.0044;-0.0024;1.0056;1.006
0.780434;-0.0046;-0.0024;1.0071;1.007
0.781067;-0.0042;-0.0044;1.0068;1.007
0.781484;-0.0029;-0.0078;1.0049;1.005
0.781869;-0.0027;-0.0095;1.0054;1.005
0.782215;-0.0042;-0.0112;1.0080;1.008
0.783310;-0.0066;-0.0139;1.0110;1.011
0.785807;-0.0068;-0.0156;1.0102;1.010
0.787157;-0.0088;-0.0181;1.0066;1.007
0.789190;-0.0110;-0.0208;1.0088;1.009
0.791442;-0.0110;-0.0213;1.0102;1.011
0.793296;-0.0129;-0.0203;1.0122;1.012
0.795437;-0.0117;-0.0208;1.0132;1.013
0.797250;-0.0125;-0.0193;1.0119;1.012
0.799647;-0.0159;-0.0203;1.0102;1.011
0.801305;-0.0164;-0.0200;1.0090;1.009
0.803322;-0.0139;-0.0176;1.0095;1.010
0.805237;-0.0132;-0.0154;1.0132;1.013
0.807759;-0.0125;-0.0149;1.0137;1.014
0.809488;-0.0125;-0.0139;1.0122;1.012
0.811412;-0.0117;-0.0122;1.0090;1.009
0.813695;-0.0095;-0.0115;1.0068;1.007
0.815882;-0.0090;-0.0112;1.0034;1.004
0.817588;-0.0088;-0.0112;1.0034;1.003
0.819493;-0.0078;-0.0103;1.0041;1.004
0.821664;-0.0064;-0.0078;1.0056;1.006
0.824709;-0.0066;-0.0068;1.0054;1.005
0.826627;-0.0051;-0.0081;1.0029;1.003
0.827830;-0.0054;-0.0081;1.0029;1.003
0.829909;-0.0061;-0.0086;1.0049;1.005
0.831902;-0.0066;-0.0068;1.0085;1.009
0.834030;-0.0081;-0.0066;1.0115;1.012
0.835472;-0.0093;-0.0071;1.0110;1.011
0.837431;-0.0122;-0.0076;1.0085;1.009
0.839495;-0.0112;-0.0073;1.0083;1.008
0.846616;-0.0105;-0.0086;1.0080;1.008
0.848064;-0.0125;-0.0100;1.0097;1.010
0.848992;-0.0110;-0.0105;1.0139;1.014
0.849883;-0.0117;-0.0115;1.0149;1.015
0.851123;-0.0105;-0.0100;1.0151;1.015
0.852607;-0.0095;-0.0098;1.0141;1.014
0.853667;-0.0083;-0.0090;1.0132;1.013
0.855508;-0.0088;-0.0086;1.0129;1.013
0.866837;-0.0086;-0.0081;1.0124;1.013
0.868181;-0.0073;-0.0078;1.0100;1.010
0.869076;-0.0064;-0.0083;1.0085;1.009
0.869892;-0.0037;-0.0103;1.0088;1.009
0.870738;-0.0044;-0.0120;1.0071;1.007
0.871842;-0.0042;-0.0112;1.0075;1.008
0.874137;-0.0051;-0.0137;1.0105;1.011
0.875235;-0.0081;-0.0139;1.0112;1.011
0.876345;-0.0078;-0.0144;1.0093;1.009
0.877271;-0.0081;-0.0171;1.0075;1.008
0.878032;-0.0098;-0.0173;1.0056;1.006
0.879995;-0.0098;-0.0191;1.0049;1.005
0.881679;-0.0125;-0.0195;1.0051;1.005
0.883597;-0.0122;-0.0200;1.0063;1.007
0.885580;-0.0120;-0.0205;1.0090;1.009
0.887506;-0.0134;-0.0198;1.0093;1.010
0.889941;-0.0147;-0.0203;1.0085;1.009
0.891875;-0.0156;-0.0181;1.0066;1.007
0.893660;-0.0149;-0.0159;1.0068;1.007
0.895525;-0.0142;-0.0154;1.0073;1.008
0.897614;-0.0151;-0.0142;1.0093;1.009
0.899687;-0.0144;-0.0122;1.0110;1.011
0.901499;-0.0134;-0.0090;1.0110;1.011
0.903377;-0.0129;-0.0088;1.0110;1.011
0.905739;-0.0129;-0.0078;1.0117;1.012
0.908108;-0.0120;-0.0054;1.0139;1.014
0.909904;-0.0110;-0.0029;1.0129;1.013
0.911700;-0.0105;-0.0022;1.0110;1.011
0.913927;-0.0081;-0.0012;1.0056;1.006
0.915372;-0.0078;-0.0017;1.0049;1.005
0.917512;-0.0083;-0.0017;1.0054;1.005
0.920843;-0.0068;-0.0010;1.0073;1.007
0.922212;-0.0061;-0.0044;1.0090;1.009
0.926659;-0.0071;-0.0049;1.0088;1.009
0.927318;-0.0073;-0.0054;1.0085;1.009
0.927704;-0.0071;-0.0056;1.0088;1.009
0.929681;-0.0068;-0.0076;1.0073;1.007
